집계일자,출발영업소코드,도착영업소코드,출발영업소명,도착영업소명,도착지방향1종교통량,도착지방향2종교통량,도착지방향3종교통량,도착지방향4종교통량,도착지방향5종교통량,도착지방향6종교통량,도착지방향총교통량,출발지방향1종교통량,출발지방향2종교통량,출발지방향3종교통량,출발지방향4종교통량,출발지방향5종교통량,출발지방향6종교통량,출발지방향총교통량,Unnamed: 19
20220909,283,253,발안,서서울,4309,52,16,20,19,229,4645,6482,32,16,17,13,252,6812,
20220909,283,254,발안,군자,998,4,8,3,6,50,1069,1380,8,8,4,5,62,1467,
20220909,283,255,발안,서안산,178,4,2,2,0,13,199,272,2,0,0,1,16,291,
20220909,283,281,발안,매송,348,10,1,0,2,20,381,463,5,3,0,3,21,495,
20220909,283,282,발안,비봉,123,1,1,2,4,2,133,1190,2,1,2,7,45,1247,
20220909,283,285,발안,서평택,141,7,1,2,0,11,162,111,1,4,2,0,10,128,
20220909,283,287,발안,송악,170,1,0,0,3,6,180,200,1,0,2,6,13,222,
20220909,283,288,발안,당진,174,2,0,0,0,1,177,110,0,1,0,1,2,114,
20220909,283,298,발안,서산,364,0,0,0,0,15,379,149,1,0,1,0,8,159,
20220909,284,174,남양양,춘천,95,0,0,1,0,7,103,204,1,0,0,0,13,218,
20220909,284,189,남양양,강릉,200,4,0,1,0,11,216,208,4,1,1,0,13,227,
20220909,284,510,남양양,양양,192,3,0,0,0,7,202,119,2,0,0,0,4,125,
20220909,284,585,남양양,하조대,328,4,4,1,1,15,353,357,3,2,0,0,18,380,
20220909,284,701,남양양,북양양,236,5,0,1,0,10,252,227,0,0,0,1,5,233,
20220909,284,702,남양양,속초,320,4,1,0,0,16,341,331,5,0,2,0,12,350,
20220909,285,253,서평택,서서울,1016,7,12,24,75,68,1202,1349,3,12,10,22,53,1449,
20220909,285,254,서평택,군자,85,2,0,1,6,8,102,129,0,1,0,5,5,140,
20220909,285,281,서평택,매송,101,6,3,1,0,5,116,137,1,2,0,0,2,142,
20220909,285,283,서평택,발안,111,1,4,2,0,10,128,141,7,1,2,0,11,162,
20220909,285,287,서평택,송악,1001,8,9,3,114,48,1183,377,10,12,2,141,17,559,
20220909,285,288,서평택,당진,1076,9,6,6,6,39,1142,139,1,2,2,5,7,156,
20220909,285,298,서평택,서산,2628,2,9,4,14,94,2751,202,2,9,4,4,2,223,
20220909,285,520,서평택,평택,153,5,5,5,17,13,198,251,2,1,2,14,10,280,
20220909,286,138,통도사휴게소,양산,368,5,1,0,0,14,388,273,7,0,0,0,22,302,
20220909,286,140,통도사휴게소,부산,1322,4,4,0,0,44,1374,1378,2,2,0,0,44,1426,
20220909,286,250,통도사휴게소,남양산,320,3,0,0,0,14,337,359,3,0,0,0,20,382,
20220909,286,252,통도사휴게소,대동,589,1,0,0,0,13,603,619,6,2,0,0,16,643,
20220909,286,529,통도사휴게소,노포,142,0,24,0,0,3,169,114,0,24,0,0,5,143,
20220909,287,253,송악,서서울,2074,4,8,6,54,96,2242,1352,3,2,5,28,51,1441,
20220909,287,254,송악,군자,235,1,1,0,8,6,251,148,2,1,0,3,5,159,
20220909,287,281,송악,매송,221,2,11,0,9,9,252,100,0,9,0,3,10,122,
20220909,287,282,송악,비봉,315,2,6,0,9,14,346,166,1,6,0,2,6,181,
20220909,287,283,송악,발안,200,1,0,2,6,13,222,170,1,0,0,3,6,180,
20220909,287,285,송악,서평택,377,10,12,2,141,17,559,1001,8,9,3,114,48,1183,
20220909,287,288,송악,당진,458,1,5,1,1,25,491,501,9,10,3,4,21,548,
